Year,FY,Town,"Fire District"
2017,2018,56169910.34,0
2016,2017,57019409.27,0
2015,2016,55443801.83,0
2014,2015,53345987.62,0
2013,2014,51845788.74,0
2012,2013,45381128.26,4515725.97
2011,2012,44015849.9,4283936.07
2010,2011,43145369.48,4089627.47
2009,2010,41524344.42,4043437.77
2008,2009,39575718.86,4118991.46
2007,2008,37726180,3781609.28
2006,2007,35309164.28,3789535.09
2005,2006,34598256.49,3670147.43
2004,2005,32745056.79,3114944
2003,2004,31034832.44,2749912.71
2002,2003,29087640.56,2421471
2001,2002,28495352.4,2254678.64
2000,2001,27280262.14,2447899.93
1999,2000,24831179.38,2390575
1998,1999,23610646.79,2239369
1997,1998,22193961.76,2269697.4
1996,1997,21236147.71,2185933.04
1995,1996,20863957.27,2216157.64
1994,1995,19857248.68,2065485.35
1993,1994,18625795.08,1796411.79
1992,1993,17372127.18,1744031.21
1991,1992,16763015.68,1600493.71
1990,1991,15740762.04,1557003
1989,1990,14941605.7,1486512.77
1988,1989,13171368.44,1222298.31
1987,1988,11622935.2,1127621.32

